"threshold","percentile_sum","cumulative_sum"
0.0249,685996,68700597
0.025,675957,68014601
0.0251,672149,67338644
0.0252,666766,66666495
0.0253,658012,65999729
0.0254,651631,65341717
0.0255,643815,64690086
0.0256,637284,64046271
0.0257,629769,63408987
0.0258,625157,62779218
0.0259,616888,62154061
0.026,609669,61537173
0.0261,605712,60927504
0.0262,597700,60321792
0.0263,589554,59724092
0.0264,584270,59134538
0.0265,578278,58550268
0.0266,573748,57971990
0.0267,567947,57398242
0.0268,561072,56830295
0.0269,553489,56269223
0.027,549486,55715734
0.0271,540883,55166248
0.0272,536965,54625365
0.0273,529846,54088400
0.0274,524194,53558554
0.0275,521180,53034360
0.0276,515571,52513180
0.0277,510546,51997609
0.0278,505181,51487063
0.0279,497346,50981882
0.028,493430,50484536
0.0281,488508,49991106
0.0282,483279,49502598
0.0283,477509,49019319
0.0284,474151,48541810
0.0285,468201,48067659
0.0286,463511,47599458
0.0287,459476,47135947
0.0288,452870,46676471
0.0289,450676,46223601
0.029,441895,45772925
0.0291,439597,45331030
0.0292,433840,44891433
0.0293,430332,44457593
0.0294,425925,44027261
0.0295,419198,43601336
0.0296,415894,43182138
0.0297,413553,42766244
0.0298,406509,42352691
0.0299,401709,41946182
0.03,399634,41544473
0.0301,396337,41144839
0.0302,392199,40748502
0.0303,387946,40356303
0.0304,382106,39968357
0.0305,377633,39586251
0.0306,373125,39208618
0.0307,370753,38835493
0.0308,365630,38464740
0.0309,361835,38099110
0.031,360159,37737275
0.0311,355435,37377116
0.0312,350773,37021681
0.0313,348721,36670908
0.0314,344918,36322187
0.0315,342147,35977269
0.0316,337962,35635122
0.0317,333180,35297160
0.0318,328390,34963980
0.0319,326695,34635590
0.032,323078,34308895
0.0321,320049,33985817
0.0322,317997,33665768
0.0323,313759,33347771
0.0324,310357,33034012
0.0325,305998,32723655
0.0326,305039,32417657
0.0327,301386,32112618
0.0328,297033,31811232
0.0329,294861,31514199
0.033,291116,31219338
0.0331,287088,30928222
0.0332,286218,30641134
0.0333,282259,30354916
0.0334,279305,30072657
0.0335,278714,29793352
0.0336,274783,29514638
0.0337,270908,29239855
0.0338,267560,28968947
0.0339,263612,28701387
0.034,263097,28437775
0.0341,259739,28174678
0.0342,257794,27914939
0.0343,253277,27657145
0.0344,250564,27403868
0.0345,250208,27153304
0.0346,247707,26903096
0.0347,242313,26655389
0.0348,241500,26413076
0.0349,240936,26171576
0.035,235959,25930640
0.0351,233857,25694681
0.0352,232792,25460824
0.0353,228619,25228032
0.0354,227196,24999413
0.0355,223881,24772217
0.0356,222344,24548336
0.0357,219969,24325992
0.0358,219097,24106023
0.0359,215392,23886926
0.036,214056,23671534
0.0361,211413,23457478
0.0362,208015,23246065
0.0363,205663,23038050
0.0364,206158,22832387
0.0365,202479,22626229
0.0366,202254,22423750
0.0367,198988,22221496
0.0368,198534,22022508
0.0369,194708,21823974
0.037,192903,21629266
0.0371,190953,21436363
0.0372,189412,21245410
0.0373,187094,21055998
0.0374,185400,20868904
0.0375,183959,20683504
0.0376,181464,20499545
0.0377,180744,20318081
0.0378,178840,20137337
0.0379,177472,19958497
0.038,176946,19781025
0.0381,173293,19604079
0.0382,171450,19430786
0.0383,170770,19259336
0.0384,168288,19088566
0.0385,165257,18920278
0.0386,163888,18755021
0.0387,163726,18591133
0.0388,161195,18427407
0.0389,159583,18266212
0.039,158406,18106629
0.0391,157279,17948223
0.0392,154979,17790944
0.0393,153403,17635965
0.0394,153885,17482562
0.0395,150218,17328677
0.0396,148574,17178459
0.0397,147781,17029885
0.0398,146975,16882104
0.0399,143670,16735129
0.04,143062,16591459
0.0401,141575,16448397
0.0402,140079,16306822
0.0403,138430,16166743
0.0404,137495,16028313
0.0405,136048,15890818
0.0406,133745,15754770
0.0407,133544,15621025
0.0408,131481,15487481
0.0409,131209,15356000
0.041,130981,15224791
0.0411,128625,15093810
0.0412,127074,14965185
0.0413,124892,14838111
0.0414,124836,14713219
0.0415,121852,14588383
0.0416,122750,14466531
0.0417,121064,14343781
0.0418,120017,14222717
0.0419,117150,14102700
0.042,117790,13985550
0.0421,116637,13867760
0.0422,115097,13751123
0.0423,113985,13636026
0.0424,112910,13522041
0.0425,110586,13409131
0.0426,110171,13298545
0.0427,110367,13188374
0.0428,108151,13078007
0.0429,107733,12969856
0.043,105593,12862123
0.0431,105794,12756530
0.0432,104692,12650736
0.0433,103871,12546044
0.0434,103078,12442173
0.0435,101127,12339095
0.0436,100397,12237968
0.0437,99879,12137571
0.0438,99541,12037692
0.0439,98062,11938151
0.044,97477,11840089
0.0441,95861,11742612
0.0442,94761,11646751
0.0443,94137,11551990
0.0444,93799,11457853
0.0445,91780,11364054
0.0446,92416,11272274
0.0447,90369,11179858
0.0448,90575,11089489
0.0449,88829,10998914
0.045,88103,10910085
0.0451,87744,10821982
0.0452,86234,10734238
0.0453,85418,10648004
0.0454,84010,10562586
0.0455,83783,10478576
0.0456,82555,10394793
0.0457,82872,10312238
0.0458,81129,10229366
0.0459,81213,10148237
