"threshold","percentile_sum","cumulative_sum"
0.0372,4066,691192420
0.0373,4195,691188354
0.0374,4183,691184159
0.0375,4228,691179976
0.0376,4328,691175748
0.0377,4211,691171420
0.0378,4570,691167209
0.0379,4471,691162639
0.038,4449,691158168
0.0381,4659,691153719
0.0382,4707,691149060
0.0383,4810,691144353
0.0384,4739,691139543
0.0385,4811,691134804
0.0386,4933,691129993
0.0387,4863,691125060
0.0388,4922,691120197
0.0389,4882,691115275
0.039,5132,691110393
0.0391,4995,691105261
0.0392,5141,691100266
0.0393,5293,691095125
0.0394,5170,691089832
0.0395,5223,691084662
0.0396,5417,691079439
0.0397,5507,691074022
0.0398,5549,691068515
0.0399,5527,691062966
0.04,5499,691057439
0.0401,5733,691051940
0.0402,5883,691046207
0.0403,5831,691040324
0.0404,5909,691034493
0.0405,6025,691028584
0.0406,6116,691022559
0.0407,6049,691016443
0.0408,6202,691010394
0.0409,6023,691004192
0.041,6230,690998169
0.0411,6447,690991939
0.0412,6465,690985492
0.0413,6455,690979027
0.0414,6705,690972572
0.0415,6654,690965867
0.0416,6634,690959213
0.0417,6842,690952579
0.0418,6744,690945737
0.0419,6751,690938993
0.042,7195,690932242
0.0421,7207,690925047
0.0422,7170,690917840
0.0423,7426,690910670
0.0424,7276,690903244
0.0425,7179,690895968
0.0426,7396,690888789
0.0427,7667,690881393
0.0428,7514,690873726
0.0429,7578,690866212
0.043,7697,690858634
0.0431,7537,690850937
0.0432,7556,690843400
0.0433,8143,690835844
0.0434,8253,690827701
0.0435,8329,690819448
0.0436,8187,690811119
0.0437,8253,690802932
0.0438,8176,690794679
0.0439,8289,690786503
0.044,8539,690778214
0.0441,8721,690769675
0.0442,8517,690760954
0.0443,8661,690752437
0.0444,8886,690743776
0.0445,8874,690734890
0.0446,9178,690726016
0.0447,9218,690716838
0.0448,9117,690707620
0.0449,9186,690698503
0.045,9513,690689317
0.0451,9353,690679804
0.0452,9448,690670451
0.0453,9736,690661003
0.0454,9679,690651267
0.0455,9611,690641588
0.0456,9718,690631977
0.0457,9950,690622259
0.0458,10119,690612309
0.0459,10216,690602190
0.046,10064,690591974
0.0461,10247,690581910
0.0462,10465,690571663
0.0463,10493,690561198
0.0464,10507,690550705
0.0465,10663,690540198
0.0466,10925,690529535
0.0467,10608,690518610
0.0468,11069,690508002
0.0469,11091,690496933
0.047,11336,690485842
0.0471,11250,690474506
0.0472,11108,690463256
0.0473,11590,690452148
0.0474,11483,690440558
0.0475,12029,690429075
0.0476,11638,690417046
0.0477,11729,690405408
0.0478,12154,690393679
0.0479,12161,690381525
0.048,12230,690369364
0.0481,12157,690357134
0.0482,12340,690344977
0.0483,12353,690332637
0.0484,12773,690320284
0.0485,12538,690307511
0.0486,12562,690294973
0.0487,12877,690282411
0.0488,13061,690269534
0.0489,13035,690256473
0.049,13627,690243438
0.0491,13358,690229811
0.0492,13397,690216453
0.0493,13405,690203056
0.0494,13204,690189651
0.0495,13895,690176447
0.0496,13894,690162552
0.0497,14121,690148658
0.0498,14042,690134537
0.0499,14656,690120495
0.05,14534,690105839
0.0501,14201,690091305
0.0502,14787,690077104
0.0503,14966,690062317
0.0504,14869,690047351
0.0505,14714,690032482
0.0506,14958,690017768
0.0507,15066,690002810
0.0508,15504,689987744
0.0509,15250,689972240
0.051,15661,689956990
0.0511,15370,689941329
0.0512,15865,689925959
0.0513,15926,689910094
0.0514,16063,689894168
0.0515,15913,689878105
0.0516,16230,689862192
0.0517,16611,689845962
0.0518,16299,689829351
0.0519,16766,689813052
0.052,16738,689796286
0.0521,16978,689779548
0.0522,16891,689762570
0.0523,17187,689745679
0.0524,16960,689728492
0.0525,17579,689711532
0.0526,17289,689693953
0.0527,17559,689676664
0.0528,17621,689659105
0.0529,17960,689641484
0.053,17597,689623524
0.0531,18194,689605927
0.0532,18398,689587733
0.0533,18377,689569335
0.0534,18142,689550958
0.0535,18464,689532816
0.0536,19090,689514352
0.0537,18990,689495262
0.0538,19245,689476272
0.0539,19342,689457027
0.054,19481,689437685
0.0541,19334,689418204
0.0542,19327,689398870
0.0543,19878,689379543
0.0544,20026,689359665
