"threshold","percentile_sum","cumulative_sum"
0.0257,207094,23517725
0.0258,204764,23310631
0.0259,203503,23105867
0.026,201848,22902364
0.0261,198914,22700516
0.0262,196688,22501602
0.0263,194611,22304914
0.0264,193547,22110303
0.0265,190612,21916756
0.0266,190303,21726144
0.0267,187309,21535841
0.0268,185542,21348532
0.0269,184078,21162990
0.027,183771,20978912
0.0271,180270,20795141
0.0272,179107,20614871
0.0273,176835,20435764
0.0274,175776,20258929
0.0275,173413,20083153
0.0276,172121,19909740
0.0277,170679,19737619
0.0278,169440,19566940
0.0279,167293,19397500
0.028,164645,19230207
0.0281,163589,19065562
0.0282,162077,18901973
0.0283,160854,18739896
0.0284,158124,18579042
0.0285,156393,18420918
0.0286,156809,18264525
0.0287,155037,18107716
0.0288,153715,17952679
0.0289,150276,17798964
0.029,150011,17648688
0.0291,149097,17498677
0.0292,148084,17349580
0.0293,144321,17201496
0.0294,144179,17057175
0.0295,142060,16912996
0.0296,141939,16770936
0.0297,139641,16628997
0.0298,138208,16489356
0.0299,139244,16351148
0.03,136188,16211904
0.0301,134397,16075716
0.0302,133004,15941319
0.0303,131760,15808315
0.0304,130408,15676555
0.0305,129596,15546147
0.0306,128335,15416551
0.0307,126901,15288216
0.0308,126116,15161315
0.0309,124685,15035199
0.031,123627,14910514
0.0311,122767,14786887
0.0312,122218,14664120
0.0313,119913,14541902
0.0314,119500,14421989
0.0315,117028,14302489
0.0316,117142,14185461
0.0317,116171,14068319
0.0318,114492,13952148
0.0319,114032,13837656
0.032,113041,13723624
0.0321,111781,13610583
0.0322,111031,13498802
0.0323,109482,13387771
0.0324,108062,13278289
0.0325,107357,13170227
0.0326,105735,13062870
0.0327,104167,12957135
0.0328,105002,12852968
0.0329,102698,12747966
0.033,101772,12645268
0.0331,101941,12543496
0.0332,100675,12441555
0.0333,99049,12340880
0.0334,98553,12241831
0.0335,97865,12143278
0.0336,97348,12045413
0.0337,96200,11948065
0.0338,95064,11851865
0.0339,93952,11756801
0.034,93533,11662849
0.0341,92547,11569316
0.0342,91859,11476769
0.0343,90237,11384910
0.0344,89884,11294673
0.0345,89510,11204789
0.0346,87691,11115279
0.0347,86260,11027588
0.0348,86352,10941328
0.0349,85275,10854976
0.035,85555,10769701
0.0351,84567,10684146
0.0352,83583,10599579
0.0353,82061,10515996
0.0354,81396,10433935
0.0355,81977,10352539
0.0356,80503,10270562
0.0357,79847,10190059
0.0358,79208,10110212
0.0359,77522,10031004
0.036,77208,9953482
0.0361,77293,9876274
0.0362,75982,9798981
0.0363,76160,9722999
0.0364,75537,9646839
0.0365,74531,9571302
0.0366,73813,9496771
0.0367,73152,9422958
0.0368,72315,9349806
0.0369,71281,9277491
