,SEED SIZE,APROX EXPORT SIZE 
,"6,050,000","56,400,000"
,"6,100,000","56,800,000"
,"6,150,000","57,200,000"
,"6,200,000","57,600,000"
,"6,250,000","58,000,000"
,"6,300,000","58,400,000"
,"6,350,000","58,800,000"
,"6,400,000","59,200,000"
,"6,450,000","59,600,000"
,"6,500,000","60,000,000"
,"6,550,000","60,400,000"
,"6,600,000","60,800,000"
,"6,650,000","61,200,000"
,"6,700,000","61,600,000"
,"6,750,000","62,000,000"
,"6,800,000","62,400,000"
,"6,850,000","62,800,000"
,"6,900,000","63,200,000"
,"6,950,000","63,600,000"
,"7,000,000","64,000,000"
,"7,050,000","64,400,000"
,"7,100,000","64,800,000"
,"7,150,000","65,200,000"
,"7,200,000","65,600,000"
,"7,250,000","66,000,000"
,"7,300,000","66,400,000"
,"7,350,000","66,800,000"
,"7,400,000","67,200,000"
,"7,450,000","67,600,000"
,"7,500,000","68,000,000"
,"7,550,000","68,400,000"
,"7,600,000","68,800,000"
,"7,650,000","69,200,000"
,"7,700,000","69,600,000"
,"7,750,000","70,000,000"
,"7,800,000","70,400,000"
,"7,850,000","70,800,000"
,"7,900,000","71,200,000"
,"7,950,000","71,600,000"
8MM,"8,000,000","72,000,000"
,"8,050,000","72,400,000"
,"8,100,000","72,800,000"
,"8,150,000","73,200,000"
,"8,200,000","73,600,000"
,"8,250,000","74,000,000"
,"8,300,000","74,400,000"
,"8,350,000","74,800,000"
,"8,400,000","75,200,000"
,"8,450,000","75,600,000"
,"8,500,000","76,000,000"
,"8,550,000","76,400,000"
,"8,600,000","76,800,000"
,"8,650,000","77,200,000"
,"8,700,000","77,600,000"
,"8,750,000","78,000,000"
,"8,800,000","78,400,000"
,"8,850,000","78,800,000"
,"8,900,000","79,200,000"
,"8,950,000","79,600,000"
9MM,"9,000,000","80,000,000"
,"9,050,000","80,400,000"
,"9,100,000","80,800,000"
,"9,150,000","81,200,000"
,"9,200,000","81,600,000"
,"9,250,000","82,000,000"
,"9,300,000","82,400,000"
,"9,350,000","82,800,000"
,"9,400,000","83,200,000"
,"9,450,000","83,600,000"
,"9,500,000","84,000,000"
,"9,550,000","84,400,000"
,"9,600,000","84,800,000"
,"9,650,000","85,200,000"
,"9,700,000","85,600,000"
,"9,750,000","86,000,000"
,"9,800,000","86,400,000"
,"9,850,000","86,800,000"
,"9,900,000","87,200,000"
,"9,950,000","87,600,000"
10MM,"10,000,000","88,000,000"
,"10,050,000","88,400,000"
,"10,100,000","88,800,000"
,"10,150,000","89,200,000"
,"10,200,000","89,600,000"
,"10,250,000","90,000,000"
,"10,300,000","90,400,000"
,"10,350,000","90,800,000"
,"10,400,000","91,200,000"
,"10,450,000","91,600,000"
,"10,500,000","92,000,000"
,"10,550,000","92,400,000"
,"10,600,000","92,800,000"
,"10,650,000","93,200,000"
,"10,700,000","93,600,000"
,"10,750,000","94,000,000"
,"10,800,000","94,400,000"
,"10,850,000","94,800,000"
,"10,900,000","95,200,000"
,"10,950,000","95,600,000"
