"threshold","percentile_sum","cumulative_sum"
0.0783,22595,5025030
0.0782,22975,5048005
0.0781,22633,5070638
0.078,22998,5093636
0.0779,23086,5116722
0.0778,22541,5139263
0.0777,23424,5162687
0.0776,23575,5186262
0.0775,23835,5210097
0.0774,23874,5233971
0.0773,23927,5257898
0.0772,23613,5281511
0.0771,24656,5306167
0.077,24063,5330230
0.0769,24554,5354784
0.0768,24639,5379423
0.0767,24390,5403813
0.0766,24601,5428414
0.0765,24650,5453064
0.0764,25071,5478135
0.0763,24744,5502879
0.0762,25388,5528267
0.0761,25646,5553913
0.076,25947,5579860
0.0759,25932,5605792
0.0758,26275,5632067
0.0757,26750,5658817
0.0756,26351,5685168
0.0755,26516,5711684
0.0754,26711,5738395
0.0753,26264,5764659
0.0752,27044,5791703
0.0751,26621,5818324
0.075,27316,5845640
0.0749,27606,5873246
0.0748,27758,5901004
0.0747,28110,5929114
0.0746,27893,5957007
0.0745,28221,5985228
0.0744,28510,6013738
0.0743,28361,6042099
0.0742,28239,6070338
0.0741,28522,6098860
0.074,29040,6127900
0.0739,29188,6157088
0.0738,29519,6186607
0.0737,29529,6216136
0.0736,29618,6245754
0.0735,29390,6275144
0.0734,30149,6305293
0.0733,30583,6335876
0.0732,30039,6365915
0.0731,30248,6396163
0.073,30528,6426691
0.0729,30885,6457576
0.0728,30955,6488531
0.0727,31231,6519762
0.0726,32056,6551818
0.0725,32003,6583821
0.0724,31327,6615148
0.0723,31934,6647082
0.0722,32289,6679371
0.0721,32521,6711892
0.072,32265,6744157
0.0719,33200,6777357
0.0718,32966,6810323
0.0717,32899,6843222
0.0716,33663,6876885
0.0715,34275,6911160
0.0714,33543,6944703
0.0713,33454,6978157
0.0712,34080,7012237
0.0711,34099,7046336
0.071,34505,7080841
0.0709,34390,7115231
0.0708,34596,7149827
0.0707,35704,7185531
0.0706,35092,7220623
0.0705,35378,7256001
0.0704,35290,7291291
0.0703,36214,7327505
0.0702,36265,7363770
0.0701,36568,7400338
0.07,36362,7436700
0.0699,37185,7473885
0.0698,36516,7510401
